id,tier,legendary,background,body,eyes,mouth,headwear,neck,bling,rarity_score
314,Common,,Slate,Ocean Blue,Classic,Bubble Pipe,None,None,,23.86
315,Common,,Sage,Ocean Blue,Shades,Punk Cigarette,None,None,,25.56
316,Common,,Sand,Deep Sea,Classic,None,None,None,,22.65
317,Common,,Mauve,Classic Navy,Abyss Glow,None,None,None,Diamond Spout,40.0
318,Common,,Sage,Steel,Classic,Punk Cigarette,Beanie,None,,29.04
319,Common,,Sage,Steel,Laser,Cigar,None,None,,36.77
320,Common,,Sage,Steel,Classic,Cigar,Sailor Cap,None,Emerald Stud,35.73
321,Uncommon,,Slate,Arctic,Classic,Cigar,Kelp Wrap,Cuban Chain,Emerald Stud,50.91
322,Common,,Charcoal,Steel,Classic,Cigar,None,None,,20.17
323,Uncommon,,Mauve,Steel,Shades,None,Captain's Hat,Diamond Chain,,56.03
324,Common,,Maroon,Classic Navy,Laser,None,Captain's Hat,None,,34.74
325,Uncommon,,Maroon,Classic Navy,Abyss Glow,Gold Tooth,None,Cuban Chain,Emerald Stud|Gold Watch,52.88
326,Common,,Maroon,Ocean Blue,Abyss Glow,None,None,None,,22.05
327,Common,,Slate,Ocean Blue,Classic,Punk Cigarette,Kelp Wrap,None,,30.53
328,Common,,Slate,Classic Navy,Classic,None,None,Cuban Chain,,13.86
329,Common,,Sage,Classic Navy,Classic,Bubble Pipe,Beanie,None,Emerald Stud,40.71
330,Common,,Slate,Classic Navy,Classic,None,Crown,None,,33.86
331,Common,,Charcoal,Classic Navy,Classic,Gold Tooth,Halo,None,Emerald Stud,44.08
332,Common,,Charcoal,Steel,Shades,None,None,Diamond Chain,,47.14
333,Rare,,Charcoal,Classic Navy,Gold Monocle,Diamond Grill,Crown,Cuban Chain,,85.48
334,Common,,Mauve,Deep Sea,Shades,None,Sailor Cap,None,,32.14
335,Common,,Sand,Classic Navy,Classic,Bubble Pipe,Captain's Hat,None,,37.01
336,Common,,Sage,Classic Navy,Classic,Bubble Pipe,Beanie,Cuban Chain,,35.71
337,Uncommon,,Sage,Classic Navy,Gold Monocle,Gold Tooth,Sailor Cap,Cuban Chain,Gold Watch,51.03
338,Common,,Slate,Ocean Blue,Classic,None,None,Cuban Chain,Pinky Ring,33.03
339,Common,,Charcoal,Classic Navy,Gold Monocle,Cigar,Captain's Hat,None,,34.38
340,Common,,Maroon,Classic Navy,Classic,None,Halo,Pearl String,,34.26
341,Rare,,Charcoal,Gilded,Laser,None,Sailor Cap,Silver Chain,,109.29
342,Common,,Maroon,Ocean Blue,Sleepy,None,Beanie,None,,26.21
343,Common,,Slate,Ocean Blue,Classic,Gold Tooth,None,Pearl String,,30.81
344,Uncommon,,Maroon,Midnight Black,Sleepy,None,None,Pearl String,Diamond Spout,69.23
345,Uncommon,,Charcoal,Steel,Classic,Diamond Grill,Beanie,Cuban Chain,,62.29
346,Uncommon,,Maroon,Arctic,Abyss Glow,Cigar,Captain's Hat,None,Pinky Ring,58.45
347,Uncommon,,Sand,Classic Navy,Laser,Cigar,Halo,Cuban Chain,,58.83
348,Common,,Gold Dust,Classic Navy,Classic,None,None,Cuban Chain,,34.32
349,Rare,,Charcoal,Gilded,Classic,Bubble Pipe,None,Pearl String,Gold Watch|Pinky Ring,125.91
350,Common,,Sage,Classic Navy,Sleepy,None,Sailor Cap,Pearl String,,34.64
351,Common,,Mauve,Classic Navy,Classic,None,None,Silver Chain,,20.98
352,Common,,Maroon,Midnight Black,Classic,None,None,Pearl String,,46.05
353,Common,,Mauve,Ocean Blue,Classic,None,None,None,,15.15
354,Common,,Maroon,Steel,Classic,Cigar,None,None,Gold Watch,27.58
355,Common,,Maroon,Ocean Blue,Abyss Glow,None,None,Diamond Chain,,47.05
356,Common,,Slate,Classic Navy,Sleepy,None,Crown,Silver Chain,,48.71
357,Common,,Slate,Classic Navy,Classic,Gold Tooth,None,Cuban Chain,,22.2
358,Uncommon,,Slate,Classic Navy,Classic,Gold Tooth,None,None,Coin Spout,50.53
359,Common,,Mauve,Classic Navy,Shades,None,None,Silver Chain,Pinky Ring,44.17
360,Common,,Charcoal,Classic Navy,Classic,Gold Tooth,None,Silver Chain,Diamond Spout,44.79
361,Common,,Charcoal,Classic Navy,Classic,None,Captain's Hat,None,Gold Watch,29.15
362,Common,,Charcoal,Classic Navy,Shades,Bubble Pipe,None,None,Diamond Spout,47.14
363,Common,,Charcoal,Steel,Classic,Bubble Pipe,Halo,None,,42.41
364,Common,,Sand,Classic Navy,Sleepy,None,None,Cuban Chain,,28.33
365,Common,,Mauve,Ocean Blue,Gold Monocle,None,Beanie,Cuban Chain,,39.17
366,Common,,Sand,Classic Navy,Classic,Punk Cigarette,Halo,Cuban Chain,,42.77
367,Uncommon,,Gold Dust,Ocean Blue,Gold Monocle,Cigar,Beanie,Pearl String,,66.49
368,Common,,Slate,Classic Navy,Shades,None,None,None,Coin Spout,48.71
369,Common,,Maroon,Classic Navy,Classic,Cigar,Sailor Cap,Cuban Chain,,25.55
370,Uncommon,,Slate,Classic Navy,Classic,Diamond Grill,Captain's Hat,None,,49.89
371,Common,,Mauve,Arctic,Classic,Cigar,Captain's Hat,None,,34.89
372,Common,,Maroon,Classic Navy,Shades,None,Kelp Wrap,None,,27.88
373,Common,,Maroon,Classic Navy,Shades,Cigar,Sailor Cap,None,,27.07
374,Common,,Maroon,Classic Navy,Classic,Cigar,Sailor Cap,Cuban Chain,Gold Watch,35.55
375,Common,,Slate,Ocean Blue,Classic,Bubble Pipe,Captain's Hat,None,Emerald Stud,41.56
376,Common,,Slate,Classic Navy,Shades,Cigar,Captain's Hat,None,Pinky Ring,44.28
377,Common,,Sage,Classic Navy,Sleepy,Cigar,Halo,None,Emerald Stud,45.22
378,Common,,Sage,Classic Navy,Classic,Cigar,None,None,Pinky Ring,31.09
379,Common,,Maroon,Steel,Classic,Cigar,None,Cuban Chain,,22.58
380,Common,,Sage,Ocean Blue,Classic,Bubble Pipe,None,None,,24.87
381,Common,,Sage,Ocean Blue,Shades,Cigar,Sailor Cap,None,Pinky Ring,47.24
382,Common,,Mauve,Classic Navy,Shades,None,Sailor Cap,Pearl String,,37.42
383,Uncommon,,Slate,Midnight Black,Classic,Bubble Pipe,None,Cuban Chain,,52.44
384,Uncommon,,Mauve,Arctic,Shades,None,Sailor Cap,Diamond Chain,,61.31
385,Common,,Mauve,Classic Navy,Laser,None,Beanie,None,,39.17
386,Common,,Maroon,Classic Navy,Classic,Gold Tooth,Captain's Hat,None,,24.89
387,Common,,Mauve,Classic Navy,Classic,None,None,Silver Chain,Pinky Ring,37.65
388,Uncommon,,Maroon,Deep Sea,Classic,Gold Tooth,Kelp Wrap,Cuban Chain,Emerald Stud|Gold Watch,60.53
389,Common,,Mauve,Ocean Blue,Sleepy,Cigar,Sailor Cap,None,,33.35
390,Uncommon,,Sage,Steel,Sleepy,Diamond Grill,None,None,,53.89
391,Uncommon,,Sand,Classic Navy,Classic,None,Kelp Wrap,Pearl String,Diamond Spout,57.1
392,Common,,Charcoal,Ocean Blue,Classic,None,Beanie,Pearl String,,33.41
393,Uncommon,,Charcoal,Classic Navy,Laser,Cigar,None,Pearl String,Emerald Stud|Gold Watch,65.3
394,Common,,Charcoal,Ocean Blue,Sleepy,Cigar,None,None,Pinky Ring,41.69
395,Common,,Sage,Deep Sea,Classic,Punk Cigarette,None,Silver Chain,,30.71
396,Common,,Slate,Ocean Blue,Shades,Gold Tooth,Captain's Hat,Pearl String,,45.02
397,Common,,Slate,Classic Navy,Gold Monocle,None,Sailor Cap,None,,26.69
398,Common,,Sage,Steel,Sleepy,Punk Cigarette,None,Cuban Chain,,32.22
399,Common,,Slate,Classic Navy,Classic,None,Sailor Cap,Cuban Chain,,21.01
400,Legendary,Deep King,Charcoal,Midnight Black,Abyss Glow,None,Crown,None,,73.21
401,Common,,Slate,Classic Navy,Classic,Cigar,Kelp Wrap,Silver Chain,,34.24
402,Common,,Sage,Classic Navy,Classic,None,None,Cuban Chain,,14.87
403,Common,,Sand,Arctic,Classic,Cigar,Sailor Cap,None,,38.51
404,Uncommon,,Maroon,Arctic,Classic,None,Sailor Cap,Diamond Chain,,51.01
405,Common,,Slate,Ocean Blue,Shades,None,None,Cuban Chain,,22.88
406,Common,,Maroon,Classic Navy,Abyss Glow,Cigar,None,None,,24.09
407,Common,,Maroon,Classic Navy,Classic,None,Beanie,Pearl String,,28.31
408,Common,,Slate,Classic Navy,Classic,Cigar,None,None,,13.41
409,Common,,Maroon,Ocean Blue,Shades,Cigar,None,None,,22.42
410,Common,,Slate,Ocean Blue,Gold Monocle,None,Sailor Cap,None,,29.19
411,Common,,Slate,Classic Navy,Classic,Cigar,Sailor Cap,None,Gold Watch,30.55
412,Common,,Slate,Steel,Sleepy,None,None,None,Gold Watch,29.55
413,Common,,Gold Dust,Classic Navy,Classic,Cigar,Sailor Cap,None,,41.01
414,Common,,Slate,Ocean Blue,Classic,Cigar,Halo,None,,30.19
415,Common,,Sage,Ocean Blue,Shades,None,Kelp Wrap,None,,31.39
416,Common,,Slate,Steel,Classic,Cigar,Sailor Cap,Silver Chain,Emerald Stud,43.05
417,Common,,Slate,Deep Sea,Classic,None,Beanie,None,,23.03
418,Rare,,Gold Dust,Classic Navy,Classic,Bubble Pipe,Captain's Hat,Diamond Chain,,74.51
419,Common,,Charcoal,Deep Sea,Classic,Punk Cigarette,None,None,Diamond Spout,40.63
420,Common,,Maroon,Arctic,Classic,Cigar,None,Cuban Chain,,28.41
421,Common,,Sage,Classic Navy,Classic,None,Captain's Hat,None,,17.57
422,Common,,Sage,Classic Navy,Classic,Cigar,Sailor Cap,None,,21.56
423,Common,,Slate,Deep Sea,Shades,Cigar,None,Cuban Chain,,30.76
424,Common,,Sage,Classic Navy,Classic,Punk Cigarette,None,None,,16.54
425,Common,,Mauve,Classic Navy,Laser,None,None,None,,30.83
426,Common,,Slate,Classic Navy,Shades,None,Captain's Hat,None,,23.07
427,Common,,Maroon,Ocean Blue,Classic,Punk Cigarette,None,Diamond Chain,,43.03
428,Common,,Slate,Classic Navy,Laser,None,None,Cuban Chain,,32.05
429,Common,,Slate,Classic Navy,Classic,Punk Cigarette,Captain's Hat,Silver Chain,Diamond Spout,48.22
430,Common,,Sage,Midnight Black,Shades,None,None,None,,42.46
431,Common,,Charcoal,Classic Navy,Classic,None,Captain's Hat,None,,19.15
432,Common,,Maroon,Classic Navy,Classic,Punk Cigarette,None,None,,15.53
433,Rare,,Sand,Arctic,Abyss Glow,Cigar,Halo,Diamond Chain,Diamond Spout,98.0
434,Common,,Sage,Arctic,Classic,Punk Cigarette,None,Silver Chain,,34.87
435,Common,,Slate,Ocean Blue,Classic,None,None,Diamond Chain,Emerald Stud,46.36
436,Common,,Slate,Classic Navy,Classic,Cigar,None,Pearl String,,24.52
437,Uncommon,,Maroon,Classic Navy,Abyss Glow,Gold Tooth,Captain's Hat,Silver Chain,Gold Watch,53.9
438,Common,,Slate,Steel,Classic,Punk Cigarette,None,Cuban Chain,,24.7
439,Common,,Charcoal,Classic Navy,Classic,Cigar,Kelp Wrap,Cuban Chain,,33.51
440,Common,,Sage,Ocean Blue,Sleepy,None,None,None,,18.89
441,Common,,Mauve,Ocean Blue,Classic,None,None,Silver Chain,,23.48
442,Common,,Mauve,Classic Navy,Sleepy,None,Crown,None,,44.17
443,Common,,Maroon,Deep Sea,Classic,None,Captain's Hat,None,,22.39
444,Common,,Maroon,Ocean Blue,Classic,None,Beanie,None,,19.7
445,Common,,Slate,Ocean Blue,Classic,Cigar,None,None,,15.91
446,Common,,Sand,Steel,Classic,Bubble Pipe,Halo,None,,47.77
447,Common,,Sand,Arctic,Classic,None,Sailor Cap,Cuban Chain,,38.96
448,Common,,Maroon,Classic Navy,Laser,Punk Cigarette,None,None,,33.71
449,Common,,Sage,Steel,Classic,Punk Cigarette,Beanie,None,Gold Watch,39.04
450,Common,,Slate,Arctic,Laser,None,Captain's Hat,Cuban Chain,,49.74
451,Common,,Sand,Steel,Gold Monocle,None,None,None,,31.67
452,Common,,Mauve,Steel,Classic,None,Sailor Cap,Cuban Chain,,28.96
453,Uncommon,,Mauve,Deep Sea,Shades,Cigar,Halo,Pearl String,Emerald Stud,64.94
454,Common,,Slate,Ocean Blue,Classic,Punk Cigarette,None,Cuban Chain,Diamond Spout,39.7
455,Common,,Slate,Classic Navy,Gold Monocle,Cigar,None,Cuban Chain,,29.09
456,Common,,Sage,Steel,Shades,Gold Tooth,None,Silver Chain,,37.22
457,Uncommon,,Sand,Deep Sea,Abyss Glow,Gold Tooth,Sailor Cap,Cuban Chain,,53.81
458,Rare,,Charcoal,Gilded,Sleepy,Cigar,Crown,Silver Chain,,120.02
459,Common,,Maroon,Classic Navy,Classic,None,Sailor Cap,Cuban Chain,,21.01
460,Common,,Sage,Ocean Blue,Shades,Cigar,Captain's Hat,None,,31.13
461,Common,,Mauve,Classic Navy,Classic,None,None,Cuban Chain,,17.65
462,Rare,,Gold Dust,Classic Navy,Abyss Glow,Punk Cigarette,None,None,Emerald Stud|Diamond Spout,73.33
463,Uncommon,,Charcoal,Midnight Black,Abyss Glow,Cigar,Sailor Cap,None,,59.9
464,Uncommon,,Mauve,Classic Navy,Shades,None,Halo,Diamond Chain,,58.45
465,Common,,Charcoal,Classic Navy,Classic,Gold Tooth,Sailor Cap,None,,26.94
466,Common,,Sand,Classic Navy,Sleepy,None,None,Cuban Chain,Emerald Stud,38.33
467,Common,,Sage,Ocean Blue,Shades,None,None,None,,18.89
468,Common,,Charcoal,Classic Navy,Classic,None,Sailor Cap,None,,18.6
469,Common,,Maroon,Classic Navy,Abyss Glow,None,None,None,,19.55
470,Common,,Sage,Midnight Black,Classic,Punk Cigarette,None,None,,42.61
471,Common,,Slate,Deep Sea,Classic,Cigar,Captain's Hat,None,Emerald Stud,36.93
472,Common,,Charcoal,Steel,Classic,Punk Cigarette,Beanie,Cuban Chain,,35.63
473,Common,,Sage,Arctic,Abyss Glow,None,None,None,,30.56
474,Common,,Slate,Classic Navy,Shades,None,None,None,,15.38
475,Uncommon,,Slate,Arctic,Laser,None,Crown,None,,62.05
476,Common,,Slate,Classic Navy,Classic,None,Halo,Pearl String,,34.26
477,Uncommon,,Maroon,Ocean Blue,Classic,None,Halo,None,Coin Spout,58.98
478,Common,,Slate,Steel,Shades,Cigar,None,None,,24.09
479,Common,,Sand,Classic Navy,Gold Monocle,None,Captain's Hat,Cuban Chain,,40.19
480,Common,,Charcoal,Ocean Blue,Classic,Punk Cigarette,Captain's Hat,None,,28.32
481,Uncommon,,Sand,Arctic,Classic,Bubble Pipe,Beanie,None,Gold Watch,57.65
482,Common,,Mauve,Midnight Black,Classic,Cigar,None,None,,43.27
483,Common,,Charcoal,Arctic,Classic,None,None,None,Gold Watch,31.46
484,Common,,Slate,Classic Navy,Classic,Bubble Pipe,None,None,Pinky Ring,38.03
485,Uncommon,,Slate,Arctic,Shades,None,Beanie,None,Diamond Spout,50.38
486,Common,,Maroon,Classic Navy,Classic,Punk Cigarette,Beanie,Diamond Chain,,48.86
487,Uncommon,,Slate,Ocean Blue,Classic,Gold Tooth,None,None,Coin Spout,53.03
488,Common,,Sage,Classic Navy,Classic,Gold Tooth,Beanie,Cuban Chain,Gold Watch,41.54
489,Common,,Gold Dust,Steel,Classic,None,Beanie,None,,41.82
490,Common,,Maroon,Ocean Blue,Sleepy,Bubble Pipe,Sailor Cap,Pearl String,,48.63
491,Common,,Slate,Ocean Blue,Sleepy,Punk Cigarette,None,None,Gold Watch,34.55
492,Uncommon,,Slate,Deep Sea,Classic,None,Crown,Cuban Chain,Diamond Spout,61.36
493,Rare,,Sand,Arctic,Abyss Glow,Punk Cigarette,None,None,Coin Spout,77.5
494,Common,,Sage,Classic Navy,Gold Monocle,Cigar,Sailor Cap,None,Emerald Stud,42.24
495,Common,,Charcoal,Ocean Blue,Classic,None,Crown,None,,38.96
496,Common,,Mauve,Classic Navy,Classic,Cigar,None,Cuban Chain,,22.2
497,Common,,Maroon,Classic Navy,Abyss Glow,Gold Tooth,None,None,,27.88
498,Common,,Slate,Deep Sea,Classic,None,None,Cuban Chain,Emerald Stud,29.7
499,Common,,Charcoal,Deep Sea,Classic,None,None,None,,17.29
500,Legendary,The Siren,Charcoal,Deep Sea,Abyss Glow,None,None,None,,27.98
501,Common,,Sand,Classic Navy,Sleepy,None,Sailor Cap,None,,30.48
502,Common,,Slate,Deep Sea,Classic,None,Sailor Cap,None,,21.84
503,Common,,Maroon,Classic Navy,Sleepy,Punk Cigarette,Captain's Hat,Cuban Chain,,34.74
504,Common,,Maroon,Classic Navy,Sleepy,Bubble Pipe,Halo,Cuban Chain,,47.16
505,Uncommon,,Slate,Midnight Black,Abyss Glow,None,Sailor Cap,None,Gold Watch,62.76
506,Uncommon,,Maroon,Steel,Abyss Glow,None,Captain's Hat,Silver Chain,Pinky Ring,56.4
507,Rare,,Charcoal,Gilded,Sleepy,Punk Cigarette,Captain's Hat,Pearl String,Emerald Stud,117.61
508,Common,,Sage,Deep Sea,Shades,Cigar,Sailor Cap,Cuban Chain,Emerald Stud,48.91
509,Common,,Maroon,Arctic,Sleepy,None,None,Cuban Chain,,30.38
510,Common,,Maroon,Deep Sea,Classic,Gold Tooth,Kelp Wrap,None,,35.53
511,Common,,Slate,Classic Navy,Classic,Bubble Pipe,None,None,Emerald Stud,31.36
512,Uncommon,,Sand,Classic Navy,Shades,Cigar,None,None,Coin Spout,61.21
513,Common,,Charcoal,Deep Sea,Classic,None,Kelp Wrap,None,,29.79
514,Common,,Mauve,Classic Navy,Shades,Gold Tooth,Beanie,None,,35.83
515,Uncommon,,Sage,Steel,Classic,Cigar,Beanie,Diamond Chain,Gold Watch,61.92
516,Common,,Mauve,Classic Navy,Classic,None,Kelp Wrap,None,,25.15
517,Common,,Sand,Classic Navy,Shades,None,None,Cuban Chain,,28.33
518,Common,,Sage,Classic Navy,Classic,None,None,None,Emerald Stud,19.87
519,Common,,Maroon,Steel,Classic,None,Captain's Hat,Cuban Chain,,25.72
520,Common,,Maroon,Ocean Blue,Classic,Gold Tooth,Beanie,Silver Chain,,36.36
521,Common,,Charcoal,Deep Sea,Shades,Punk Cigarette,Beanie,None,,38.81
522,Common,,Maroon,Midnight Black,Classic,None,None,None,Gold Watch,44.94
523,Uncommon,,Maroon,Deep Sea,Classic,Diamond Grill,None,Pearl String,,59.14
524,Common,,Sand,Classic Navy,Classic,Cigar,None,Cuban Chain,,26.36
525,Common,,Maroon,Ocean Blue,Classic,Gold Tooth,Captain's Hat,None,,27.39
526,Common,,Maroon,Deep Sea,Classic,Punk Cigarette,Captain's Hat,None,,29.06
527,Common,,Slate,Deep Sea,Sleepy,None,Beanie,Silver Chain,Gold Watch,47.88
528,Uncommon,,Sage,Arctic,Shades,Gold Tooth,None,Silver Chain,Emerald Stud,53.06
529,Common,,Maroon,Arctic,Classic,Gold Tooth,Beanie,Silver Chain,,43.86
530,Common,,Slate,Steel,Abyss Glow,Punk Cigarette,Beanie,Pearl String,,49.82
531,Common,,Mauve,Classic Navy,Shades,None,None,Pearl String,,30.28
532,Common,,Sage,Deep Sea,Classic,None,None,None,Pinky Ring,32.37
533,Common,,Slate,Ocean Blue,Classic,Bubble Pipe,Captain's Hat,None,,31.56
534,Common,,Charcoal,Deep Sea,Classic,None,Halo,None,,31.58
535,Common,,Mauve,Ocean Blue,Classic,None,Sailor Cap,Silver Chain,,30.63
536,Common,,Maroon,Ocean Blue,Classic,Cigar,Crown,None,,40.91
537,Common,,Maroon,Classic Navy,Laser,None,Sailor Cap,None,Emerald Stud,44.19
538,Uncommon,,Mauve,Classic Navy,Sleepy,Cigar,Beanie,Cuban Chain,Pinky Ring,53.71
539,Uncommon,,Sand,Arctic,Laser,None,Beanie,Cuban Chain,,58.33
540,Common,,Maroon,Classic Navy,Classic,Cigar,Captain's Hat,Cuban Chain,,26.1
541,Uncommon,,Sage,Steel,Classic,Punk Cigarette,Crown,Cuban Chain,Gold Watch,60.71
542,Common,,Sand,Classic Navy,Gold Monocle,None,Captain's Hat,None,,35.19
543,Common,,Charcoal,Classic Navy,Classic,Punk Cigarette,None,None,Gold Watch,28.13
544,Uncommon,,Sand,Classic Navy,Classic,None,Kelp Wrap,Cuban Chain,Diamond Spout,50.98
545,Uncommon,,Sand,Steel,Classic,Cigar,Kelp Wrap,Silver Chain,Gold Watch,56.36
546,Common,,Gold Dust,Deep Sea,Classic,Punk Cigarette,Sailor Cap,None,,48.96
547,Common,,Maroon,Ocean Blue,Laser,None,Halo,Cuban Chain,,48.83
548,Uncommon,,Slate,Ocean Blue,Laser,Punk Cigarette,Captain's Hat,Pearl String,Emerald Stud,65.02
549,Common,,Maroon,Steel,Sleepy,Gold Tooth,Beanie,None,,36.21
550,Common,,Maroon,Arctic,Classic,None,None,None,,18.86
551,Common,,Slate,Ocean Blue,Sleepy,None,None,None,,17.88
552,Common,,Slate,Classic Navy,Classic,Cigar,Beanie,None,,21.74
553,Common,,Slate,Classic Navy,Classic,Cigar,None,Cuban Chain,,18.41
554,Uncommon,,Sage,Deep Sea,Classic,Diamond Grill,Sailor Cap,None,,56.18
555,Common,,Mauve,Deep Sea,Classic,Cigar,Beanie,Silver Chain,,39.7
556,Common,,Slate,Ocean Blue,Shades,Cigar,Captain's Hat,None,Gold Watch,40.12
557,Common,,Sand,Classic Navy,Sleepy,Cigar,Sailor Cap,None,Gold Watch,45.02
558,Common,,Gold Dust,Steel,Classic,None,Captain's Hat,Cuban Chain,,46.18
559,Common,,Sage,Ocean Blue,Classic,Gold Tooth,None,None,,20.71
560,Common,,Maroon,Deep Sea,Sleepy,None,Kelp Wrap,None,,33.71
561,Uncommon,,Gold Dust,Arctic,Laser,None,None,Silver Chain,,65.83
562,Common,,Charcoal,Ocean Blue,Classic,Gold Tooth,None,None,,22.29
563,Common,,Maroon,Ocean Blue,Sleepy,Cigar,Halo,Silver Chain,,45.04
564,Common,,Maroon,Classic Navy,Classic,None,None,None,Emerald Stud,18.86
565,Common,,Slate,Ocean Blue,Classic,None,None,None,,11.36
566,Common,,Slate,Steel,Classic,None,None,Pearl String,,24.14
567,Common,,Sage,Classic Navy,Sleepy,Gold Tooth,None,None,,24.72
568,Uncommon,,Slate,Classic Navy,Classic,None,Kelp Wrap,Pearl String,Pinky Ring|Diamond Spout,65.81
569,Uncommon,,Mauve,Arctic,Classic,Punk Cigarette,Crown,None,,54.32
570,Common,,Mauve,Arctic,Classic,None,Beanie,None,,30.98
571,Common,,Charcoal,Steel,Sleepy,Gold Tooth,Kelp Wrap,None,,42.98
572,Common,,Sand,Classic Navy,Classic,Cigar,None,None,Gold Watch,31.36
573,Rare,,Sage,Deep Sea,Gold Monocle,Gold Tooth,None,Cuban Chain,Pinky Ring|Diamond Spout,73.06
574,Common,,Slate,Steel,Classic,None,Sailor Cap,None,Pinky Ring,36.84
575,Common,,Slate,Steel,Classic,Cigar,Beanie,None,,25.91
576,Common,,Maroon,Steel,Classic,Punk Cigarette,Kelp Wrap,None,,32.2
577,Common,,Mauve,Steel,Classic,Bubble Pipe,None,None,Diamond Spout,45.98
578,Uncommon,,Gold Dust,Steel,Shades,None,Sailor Cap,None,Emerald Stud,57.14
579,Uncommon,,Mauve,Steel,Abyss Glow,Bubble Pipe,Kelp Wrap,None,Gold Watch,62.5
580,Common,,Mauve,Ocean Blue,Classic,Punk Cigarette,None,None,,21.82
581,Common,,Mauve,Classic Navy,Classic,None,Beanie,None,Gold Watch,30.98
582,Common,,Slate,Ocean Blue,Gold Monocle,None,Captain's Hat,None,,29.74
583,Rare,,Gold Dust,Arctic,Classic,Gold Tooth,Sailor Cap,Cuban Chain,Emerald Stud|Diamond Spout,86.46
584,Uncommon,,Maroon,Midnight Black,Laser,Bubble Pipe,None,Cuban Chain,,70.62
585,Common,,Slate,Steel,Shades,Gold Tooth,Sailor Cap,None,,35.02
586,Common,,Charcoal,Steel,Laser,None,None,None,Gold Watch,43.81
587,Common,,Sage,Ocean Blue,Classic,None,None,None,,12.37
588,Common,,Mauve,Steel,Classic,None,None,None,,16.82
589,Common,,Slate,Arctic,Classic,None,Sailor Cap,Pearl String,Emerald Stud,47.12
590,Common,,Sage,Classic Navy,Classic,Diamond Grill,None,Cuban Chain,,48.21
591,Common,,Mauve,Classic Navy,Classic,None,None,Pearl String,Gold Watch,33.76
592,Rare,,Sand,Deep Sea,Sleepy,Gold Tooth,None,None,Emerald Stud|Coin Spout,80.83
593,Common,,Slate,Ocean Blue,Classic,None,None,Cuban Chain,,16.36
594,Common,,Sage,Classic Navy,Classic,None,None,Cuban Chain,Emerald Stud,24.87
595,Common,,Slate,Steel,Sleepy,Punk Cigarette,None,None,Emerald Stud,36.21
596,Common,,Sand,Arctic,Classic,None,Captain's Hat,Cuban Chain,,39.51
597,Common,,Charcoal,Classic Navy,Classic,None,Beanie,None,Gold Watch,29.79
598,Common,,Sage,Ocean Blue,Classic,None,Captain's Hat,None,Pinky Ring,36.73
599,Common,,Maroon,Arctic,Abyss Glow,None,None,Cuban Chain,,34.55
600,Legendary,Goldback,Gold Dust,Gilded,Classic,Diamond Grill,None,Diamond Chain,,151.82
601,Uncommon,,Charcoal,Classic Navy,Laser,Gold Tooth,Crown,Cuban Chain,,67.98
602,Common,,Slate,Steel,Sleepy,None,None,None,,19.55
603,Common,,Maroon,Ocean Blue,Classic,Cigar,Kelp Wrap,None,,28.41
604,Common,,Charcoal,Steel,Classic,Punk Cigarette,None,None,Diamond Spout,38.96
605,Common,,Maroon,Classic Navy,Abyss Glow,Gold Tooth,None,Pearl String,,38.99
606,Common,,Slate,Deep Sea,Abyss Glow,None,Kelp Wrap,None,,37.88
607,Common,,Sage,Classic Navy,Classic,None,Sailor Cap,None,,17.02
608,Common,,Maroon,Classic Navy,Abyss Glow,Punk Cigarette,Captain's Hat,None,,33.9
609,Uncommon,,Slate,Ocean Blue,Classic,None,Sailor Cap,None,Coin Spout,51.84
610,Common,,Sage,Classic Navy,Classic,Punk Cigarette,None,Pearl String,Emerald Stud,37.65
611,Uncommon,,Mauve,Classic Navy,Sleepy,Diamond Grill,None,Silver Chain,,60.83
612,Common,,Mauve,Classic Navy,Classic,Cigar,Halo,Cuban Chain,,36.48
613,Common,,Maroon,Ocean Blue,Sleepy,None,Captain's Hat,None,Diamond Spout,42.24
614,Common,,Sage,Classic Navy,Classic,Punk Cigarette,None,Cuban Chain,,21.54
615,Common,,Charcoal,Arctic,Classic,None,None,Silver Chain,Gold Watch,39.79
616,Uncommon,,Sage,Classic Navy,Laser,None,Crown,Cuban Chain,,58.06
617,Common,,Maroon,Deep Sea,Classic,None,Captain's Hat,None,Pinky Ring,39.06
618,Common,,Slate,Classic Navy,Classic,None,Halo,Cuban Chain,,28.15
619,Common,,Sage,Arctic,Abyss Glow,Cigar,None,Pearl String,,46.21
620,Common,,Charcoal,Steel,Gold Monocle,Punk Cigarette,Beanie,None,,41.31
621,Common,,Charcoal,Classic Navy,Sleepy,None,None,Cuban Chain,,22.98
622,Common,,Maroon,Steel,Classic,Punk Cigarette,Beanie,None,Gold Watch,38.03
623,Uncommon,,Charcoal,Steel,Abyss Glow,Cigar,Halo,Cuban Chain,,50.14
624,Uncommon,,Slate,Ocean Blue,Shades,Punk Cigarette,Halo,Cuban Chain,Pinky Ring,60.5
625,Common,,Maroon,Ocean Blue,Classic,Bubble Pipe,None,Silver Chain,,32.2
626,Uncommon,,Mauve,Ocean Blue,Shades,None,Beanie,Diamond Chain,,55.0
627,Common,,Sand,Ocean Blue,Classic,None,Sailor Cap,None,,26.46
628,Rare,,Charcoal,Gilded,Classic,Cigar,Beanie,None,,88.51
629,Common,,Slate,Classic Navy,Shades,Bubble Pipe,None,None,,27.88
